id,name,district,difficulty,distance_km,elevation_m,type,features,description
14,Bukit Harun,Hulu Terengganu,Hard,8.0,550,Jungle,"Wilderness, Dense Canopy",An off-the-beaten-path trail for experienced explorers. Features high humidity and dense vegetation typical of inland Terengganu.
15,Lata Payung,Setiu,Moderate,4.0,280,Waterfall,"Remote, Pristine Water","A hidden gem in Setiu. The trail follows a crystal-clear stream leading to a serene, umbrella-shaped waterfall pool."
16,Bukit Bidong,Setiu,Easy,2.2,140,Jungle,Coastline Overlook,A gentle ascent through coastal hills. Provides a unique vantage point of the Setiu Wetlands and the coastline.
17,Bukit Merah,Besut,Moderate,3.5,210,Jungle,"Laterite Soil, Sunrise Spot",Known for its distinctive red soil. A moderate climb that is highly popular for local sunrise photography and morning workouts.
18,Trail_18,Dungun,Moderate,4.8,190,Jungle,"Nature, Forest","A beautiful moderate trail located in Dungun, perfect for a quick weekend escape into the tropical rainforest."
19,Trail_19,Kemaman,Easy,4.9,195,Jungle,"Nature, Forest","A beautiful easy trail located in Kemaman, perfect for a quick weekend escape into the tropical rainforest."
20,Bukit Puteri,Kuala Terengganu,Easy,0.8,40,Historical,"Old Fort, City View","A historical site overlooking the Terengganu River. Features 19th-century fortifications, cannons, and a lighthouse."
21,Trail_21,Marang,Easy,5.1,205,Jungle,"Nature, Forest","A beautiful easy trail located in Marang, perfect for a quick weekend escape into the tropical rainforest."
22,Trail_22,Hulu Terengganu,Moderate,5.2,210,Jungle,"Nature, Forest","A beautiful moderate trail located in Hulu Terengganu, perfect for a quick weekend escape into the tropical rainforest."
23,Trail_23,Kuala Nerus,Easy,5.300000000000001,215,Jungle,"Nature, Forest","A beautiful easy trail located in Kuala Nerus, perfect for a quick weekend escape into the tropical rainforest."
24,Trail_24,Besut,Moderate,5.4,220,Jungle,"Nature, Forest","A beautiful moderate trail located in Besut, perfect for a quick weekend escape into the tropical rainforest."
25,Lata Kolam Air Biru,Besut,Easy,1.0,40,Waterfall,"Blue Pools, Crystal Water",A short walk to one of Terengganu's most stunning natural features: pools with a unique turquoise-blue tint.
26,Trail_26,Dungun,Moderate,5.6,230,Jungle,"Nature, Forest","A beautiful moderate trail located in Dungun, perfect for a quick weekend escape into the tropical rainforest."
27,Trail_27,Kemaman,Easy,5.7,235,Jungle,"Nature, Forest","A beautiful easy trail located in Kemaman, perfect for a quick weekend escape into the tropical rainforest."
28,Trail_28,Setiu,Moderate,5.800000000000001,240,Jungle,"Nature, Forest","A beautiful moderate trail located in Setiu, perfect for a quick weekend escape into the tropical rainforest."
29,Trail_29,Marang,Easy,5.9,245,Jungle,"Nature, Forest","A beautiful easy trail located in Marang, perfect for a quick weekend escape into the tropical rainforest."
30,Trail_30,Hulu Terengganu,Moderate,6.0,250,Jungle,"Nature, Forest","A beautiful moderate trail located in Hulu Terengganu, perfect for a quick weekend escape into the tropical rainforest."
31,Trail_31,Kuala Nerus,Easy,6.1,255,Jungle,"Nature, Forest","A beautiful easy trail located in Kuala Nerus, perfect for a quick weekend escape into the tropical rainforest."
32,Trail_32,Besut,Moderate,6.2,260,Jungle,"Nature, Forest","A beautiful moderate trail located in Besut, perfect for a quick weekend escape into the tropical rainforest."
33,Trail_33,Kuala Terengganu,Easy,6.300000000000001,265,Jungle,"Nature, Forest","A beautiful easy trail located in Kuala Terengganu, perfect for a quick weekend escape into the tropical rainforest."
34,Trail_34,Dungun,Moderate,6.4,270,Jungle,"Nature, Forest","A beautiful moderate trail located in Dungun, perfect for a quick weekend escape into the tropical rainforest."
35,Trail_35,Kemaman,Easy,6.5,275,Jungle,"Nature, Forest","A beautiful easy trail located in Kemaman, perfect for a quick weekend escape into the tropical rainforest."
36,Trail_36,Setiu,Moderate,6.6,280,Jungle,"Nature, Forest","A beautiful moderate trail located in Setiu, perfect for a quick weekend escape into the tropical rainforest."
37,Trail_37,Marang,Easy,6.7,285,Jungle,"Nature, Forest","A beautiful easy trail located in Marang, perfect for a quick weekend escape into the tropical rainforest."
38,Trail_38,Hulu Terengganu,Moderate,6.800000000000001,290,Jungle,"Nature, Forest","A beautiful moderate trail located in Hulu Terengganu, perfect for a quick weekend escape into the tropical rainforest."
39,Trail_39,Kuala Nerus,Easy,6.9,295,Jungle,"Nature, Forest","A beautiful easy trail located in Kuala Nerus, perfect for a quick weekend escape into the tropical rainforest."
40,Trail_40,Besut,Moderate,7.0,300,Jungle,"Nature, Forest","A beautiful moderate trail located in Besut, perfect for a quick weekend escape into the tropical rainforest."
41,HikeWise Master Trail,Kuala Terengganu,Moderate,5.0,300,Jungle/Coastal,Hybrid Experience,"The ultimate combined experience designed for the HikeWise community, featuring both inland jungle and coastal ridge segments."
